"STRING_ID","Gene_Symbol","Degree","Betweenness","Closeness"
"9606.ENSP00000263341","IL1B",38,674.350023524927,0.00925925925925926
"9606.ENSP00000361405","MMP9",34,496.36040463596,0.00884955752212389
"9606.ENSP00000306512","CXCL8",31,161.077000681277,0.00813008130081301
"9606.ENSP00000362108","LCN2",23,374.426027939103,0.00775193798449612
"9606.ENSP00000379110","CXCL1",23,47.9800856928695,0.00740740740740741
"9606.ENSP00000296027","CXCL5",18,14.7089847857365,0.00704225352112676
"9606.ENSP00000427279","CXCL2",18,16.560291975279,0.00704225352112676
"9606.ENSP00000299855","MMP3",16,76.019291054718,0.00714285714285714
"9606.ENSP00000302234","CCL11",16,40.0739360692017,0.00657894736842105
"9606.ENSP00000319635","CXCR2",16,15.6047341547342,0.00657894736842105
"9606.ENSP00000322788","MMP1",16,27.5770922818844,0.00709219858156028
"9606.ENSP00000296026","CXCL3",15,3.14410097149228,0.0065359477124183
"9606.ENSP00000306884","CXCL11",15,28.3920324949551,0.0065359477124183
"9606.ENSP00000357726","S100A12",15,102.72383284939,0.00709219858156028
"9606.ENSP00000260227","MMP7",14,114.272804758442,0.00689655172413793
"9606.ENSP00000286758","CXCL13",14,22.1085048127079,0.00649350649350649
"9606.ENSP00000384906","SAA1",14,172.821198953552,0.00714285714285714
"9606.ENSP00000479955","CCL18",14,6.30624328943156,0.00671140939597315
