"STRING_ID","Gene_Symbol","Degree","Betweenness","Closeness"
"9606.ENSP00000263341","IL1B",50,940.472395286802,0.01
"9606.ENSP00000306512","CXCL8",40,281.92026539218,0.0087719298245614
"9606.ENSP00000361405","MMP9",35,190.84719390548,0.00826446280991736
"9606.ENSP00000351671","CCL20",27,61.9792695268641,0.00746268656716418
"9606.ENSP00000379110","CXCL1",27,72.6381268123027,0.00757575757575758
"9606.ENSP00000362108","LCN2",25,293.582416343616,0.00763358778625954
"9606.ENSP00000427279","CXCL2",22,70.4782789636766,0.00709219858156028
"9606.ENSP00000319635","CXCR2",20,20.4508732452618,0.00666666666666667
"9606.ENSP00000286758","CXCL13",19,42.4670718170718,0.00666666666666667
"9606.ENSP00000296027","CXCL5",19,13.1904031603546,0.00689655172413793
"9606.ENSP00000354901","CXCL9",19,95.8379136114439,0.00680272108843537
"9606.ENSP00000357726","S100A12",19,45.652361232009,0.00704225352112676
"9606.ENSP00000236147","SELL",17,67.6118443376052,0.00657894736842105
"9606.ENSP00000306884","CXCL11",17,12.0563843591988,0.0065359477124183
"9606.ENSP00000322788","MMP1",16,26.5809142973306,0.00680272108843537
"9606.ENSP00000356946","FCGR3A",16,18.980935542112,0.00662251655629139
"9606.ENSP00000433642","FCGR3B",16,17.9978122928123,0.00662251655629139
"9606.ENSP00000479955","CCL18",16,8.12201987029573,0.00662251655629139
"9606.ENSP00000296026","CXCL3",15,2.28087662240586,0.00641025641025641
"9606.ENSP00000357727","S100A9",15,29.3843549424432,0.00675675675675676
