"STRING_ID","Gene_Symbol","Degree","Betweenness","Closeness"
"9606.ENSP00000263341","IL1B",40,666.941976185373,0.0101010101010101
"9606.ENSP00000306512","CXCL8",34,167.296867960265,0.00909090909090909
"9606.ENSP00000305651","CXCL10",28,104.554894664701,0.00833333333333333
"9606.ENSP00000477908","CCL3",27,56.6737258335316,0.00826446280991736
"9606.ENSP00000263339","IL1A",26,30.0567262131958,0.00813008130081301
"9606.ENSP00000379110","CXCL1",26,29.444488325795,0.00806451612903226
"9606.ENSP00000482259","CCL4",26,55.4462240648305,0.00819672131147541
"9606.ENSP00000218388","TIMP1",24,134.623671738664,0.00840336134453781
"9606.ENSP00000299855","MMP3",24,182.666911038018,0.00826446280991736
"9606.ENSP00000322788","MMP1",23,73.0988677244846,0.00793650793650794
"9606.ENSP00000356438","PTGS2",23,61.347443738032,0.00793650793650794
"9606.ENSP00000378517","SPP1",23,282.496210643687,0.00840336134453781
"9606.ENSP00000362108","LCN2",21,90.1602727973286,0.008
"9606.ENSP00000296027","CXCL5",20,9.68013015292427,0.00769230769230769
"9606.ENSP00000354901","CXCL9",18,72.5949797602194,0.00735294117647059
"9606.ENSP00000306884","CXCL11",16,4.66183495755477,0.00699300699300699
"9606.ENSP00000331736","SELE",16,30.3832580001698,0.00763358778625954
